album_id,name,artist,no_tracks,release_date,popularity,genres
Lbeyve438SY,"Ao Vivo no Ibirapuera, Vol. 1",Aewjvv081CT,7,2020-01-31 00:00:00,38,[]
Lqdbgh839ET,Easy Money Baby,Asmehx662RM,18,2020-01-24 00:00:00,79,[]
Lffzik951LC,IGOR,Aijpnr966ZK,12,2019-05-17 00:00:00,83,[]
Luwvov272UC,"Oral Fixation, Vol. 2 (Expanded Edition)",Aaezpd047DX,13,2005-11-28 00:00:00,76,[]
Litmxd611ZG,Medusa,Ansdhp180ZW,2,2020-02-05 00:00:00,62,[]
Lgortg223KD,Just Lose It,Aarvof428TN,2,2004-01-01 00:00:00,70,[]
Ljqlze943WZ,The Thrill Of It All (Special Edition),Aypzvu717DW,14,2017-11-03 00:00:00,77,[]
Liczyu305VX,Changes,Azwhoy014ZU,17,2020-02-14 00:00:00,79,[]
Lyauxs440NX,Artist 2.0,Atypyo381YA,20,2020-02-14 00:00:00,75,[]
Lasbee537FH,The Slow Rush,Aggbmb023AK,12,2020-02-14 00:00:00,77,[]
Lszgyy741GL,MAP OF THE SOUL : 7,Arottg631PO,20,2020-02-21 00:00:00,86,[]
Lddjgr034IW,Meet The Woo,Aglqof902EJ,9,2019-07-26 00:00:00,80,[]
Lbzpxq700TZ,Starboy,Ahvkzg475WU,18,2016-11-25 00:00:00,87,[]
Letgrj379PI,Wayy 2 Kritical,Atbebp272AN,15,2019-06-21 00:00:00,55,[]
Lkpmyr327AB,"My Dear Melancholy,",Ahvkzg475WU,7,2018-03-30 00:00:00,79,[]
Lnqghd335YC,YHLQMDLG,Aayrna027II,20,2020-02-29 00:00:00,91,[]
Lhhldw073WR,Rojo,Avfjzx106RC,3,2020-02-27 00:00:00,64,[]
Lxdnqx622QK,My Turn,Ahidqz036ED,20,2020-02-28 00:00:00,77,[]
Lkqtng525ZO,Rare (Bonus Track Version),Adpcab371AB,14,2020-01-10 00:00:00,0,[]
Lrwmvd921NZ,PTSD,Afayxr279BK,14,2020-02-28 00:00:00,13,[]
Lstbii825BH,Nicotine,Asdmap686IY,10,2020-03-26 00:00:00,38,[]
Lqnzwq267DU,Colores,Avfjzx106RC,10,2020-03-19 00:00:00,78,[]
Lkbqkf319FK,STELLA & STEVE,Actyis980LK,5,2019-11-15 00:00:00,71,[]
Lzzdkp727XY,Sweet Action,Ausypa539KO,7,2020-03-13 00:00:00,78,[]
Lhulny681KZ,Eternal Atake,Amphgo978MR,18,2020-03-06 00:00:00,79,[]
Lkwpap518MS,Suga,Ajehhs105MF,9,2020-03-06 00:00:00,72,[]
Lmraws240UM,Eternal Atake (Deluxe) - LUV vs. The World 2,Amphgo978MR,32,2020-03-13 00:00:00,78,[]
Lpbodv719GV,Heaven Or Hell,Apnyif698QC,12,2020-03-13 00:00:00,82,[]
Ljnrtm024IL,In Your Eyes (feat. Alida),Aaaatw259CH,3,2020-01-10 00:00:00,63,[]
Loyzjq130GC,Kid Krow,Aqolfb546HB,12,2020-03-20 00:00:00,85,[]
Lptgeu590FA,It'z Me,Axtglg096JY,7,2020-03-09 00:00:00,70,[]
Lcuoud251XT,Make You Mine,Aovagj008YA,3,2019-08-09 00:00:00,72,[]
Lcxjhh770IU,Heartbreak Weather,Atqnbh035UO,14,2020-03-13 00:00:00,76,[]
Lqvihi241CM,Chixtape 5,Aciojt073HK,18,2019-11-15 00:00:00,72,[]
Ltyinu250QW,LOST,Asbgfm853AO,7,2019-11-08 00:00:00,1,[]
Lalfwi622LM,Luv Is Rage 2,Amphgo978MR,16,2017-08-25 00:00:00,83,[]
Lfwqol482XT,Chilombo,Ageupe413DG,20,2020-03-06 00:00:00,72,[]
Lmxfpi023PA,Future Nostalgia,Azvkpw399TU,11,2020-03-27 00:00:00,87,[]
Lsvsya889XC,PARTYMOBILE,Asnaxn657AM,15,2020-03-27 00:00:00,73,[]
Lppblv019UL,CALM,Atuinq339WY,12,2020-03-27 00:00:00,2,[]
Lythlg181YJ,Salt,Ayfppz567IR,3,2019-12-12 00:00:00,3,[]
Lxcpiq834HY,13 Reasons Why (Season 3),Atuinq339WY,18,2019-08-23 00:00:00,72,[]
Lclecd895HG,Kings & Queens,Ayfppz567IR,2,2020-03-12 00:00:00,4,[]
Ldtjtn552DM,Rare (Deluxe),Adpcab371AB,17,2020-04-09 00:00:00,55,[]
Lcdagf635DD,The New Toronto 3,Aciojt073HK,16,2020-04-10 00:00:00,74,[]
Lbfdeg549HU,BLAME IT ON BABY,Adfswq621OR,13,2020-04-17 00:00:00,80,[]
Lawqiq458WC,Gimme Love,Athsfw932GI,2,2020-04-16 00:00:00,62,[]
Lgduba089VJ,FERXXO (VOL 1: M.O.R),Axwbrm994KW,16,2020-04-23 00:00:00,68,[]
Lwwuft602SM,Cry Baby (Deluxe Edition),Azijiy664VW,16,2015-08-14 00:00:00,86,[]
Loiukf522RV,If You’re Too Shy (Let Me Know),Aqlfdj007CM,2,2020-04-23 00:00:00,55,[]
Llgzaf636NF,Dark Lane Demo Tapes,Afavko122BS,14,2020-05-01 00:00:00,80,[]
Lduqra774LN,LAS QUE NO IBAN A SALIR,Aayrna027II,10,2020-05-10 00:00:00,79,[]
Ljkjfj301MB,Good Intentions,Azhxdm484OY,18,2020-05-08 00:00:00,68,[]
Lssmps269KX,State of Emergency,Axhbpb739OB,7,2020-05-08 00:00:00,68,[]
Ljfjnf274WK,It Was Good Until It Wasn't,Aszcyv203WC,15,2020-05-08 00:00:00,73,[]
Lhoblr445CE,High Off Life,Amvniq015JL,21,2020-05-15 00:00:00,75,[]
Lrypux167QW,THE GOAT,Avetia825ZQ,16,2020-05-15 00:00:00,86,[]
Lnksxi172RB,XV,Akxmyr892MW,2,2020-05-15 00:00:00,64,[]
Lycmql991CG,1 of 1,Avlseu171IZ,21,2020-05-21 00:00:00,74,[]
Ltizsc706BR,THE END OF EVERYTHING,Aknkvu293GD,8,2020-05-15 00:00:00,77,[]
Liyxmi078DV,D-2,Agmdby379AN,10,2020-05-22 00:00:00,77,[]
Lbmzhp577TX,WUNNA,Afwbid521IE,18,2020-05-22 00:00:00,76,[]
Lwgnmb751PB,Slime & B,Akraho064ZD,13,2020-05-08 00:00:00,75,[]
Lyotzy370RU,ANGELS & DEMONS,Aciscn413EG,2,2020-05-19 00:00:00,28,[]
Lnovyu711WW,Chromatica,Abvrrh783GZ,16,2020-05-29 00:00:00,79,[]
Lvwrky386BM,Golden Hour,Adkylt150BZ,18,2020-05-29 00:00:00,77,[]
Ldndsc548GR,Emmanuel,Agnmah088WG,22,2020-05-29 00:00:00,79,[]
Lspezn283WX,MORE & MORE,Ahynuk774XP,7,2020-06-01 00:00:00,54,[]
Lnoftq996DK,Lil Boat 3,Admewj172RZ,19,2020-05-29 00:00:00,68,[]
Locgfi965WL,Sleepy Hallow Presents: Sleepy For President,Aakjsg787MC,12,2020-06-05 00:00:00,75,[]
Lqbccv481WW,We Sing. We Dance. We Steal Things.,Aidneu073AD,26,2008-05-01 00:00:00,70,[]
Lxejmy503QB,Synchronicity (Remastered 2003),Aclwws525VQ,11,1983-06-17 00:00:00,79,[]
Liilnm927QA,Translation,Aslifl582VN,15,2020-06-18 00:00:00,60,[]
Lspstp066NU,My Turn (Deluxe),Ahidqz036ED,26,2020-05-01 00:00:00,74,[]
Lpiwvp777LA,Banana (feat. Shaggy) [DJ FLe - Minisiren Remix],Acrnpj574HA,2,2020-05-15 00:00:00,62,[]
Lhwjsk361MN,Platonicos,Ajmdbs142RS,12,2020-06-12 00:00:00,79,[]
Lqofxo454RJ,Nothing Happens,Avrgie749HT,11,2019-03-22 00:00:00,79,[]
Ltnnlj439MG,I'm Gone,Axvjrq231TC,9,2020-06-12 00:00:00,74,[]
Ldhdmi707JW,Dream Your Life Away,Alsirs228WU,13,2014-09-08 00:00:00,76,[]
Lmnkws446NI,Hot Fuss,Aosmre896WU,12,2004-06-07 00:00:00,3,[]
Ldlazy005CB,All The Little Lights,Agazit733LS,12,2012-01-01 00:00:00,12,[]
Ljwsvz385HL,KILL THIS LOVE,Ajoqjc102NJ,5,2019-04-04 00:00:00,41,[]
